Subject,Session,ID,TETTime,RTTime,CursorX,CursorY,TimestampSec,TimestampMicrosec,XGazePosLeftEye,YGazePosLeftEye,XCameraPosLeftEye,YCameraPosLeftEye,DiameterPupilLeftEye,DistanceLeftEye,ValidityLeftEye,XGazePosRightEye,YGazePosRightEye,XCameraPosRightEye,YCameraPosRightEye,DiameterPupilRightEye,DistanceRightEye,ValidityRightEye,TrialId,SoundFile,Condition,TrialType,AdjectiveType,AdjectiveOnset,NounOnset,SceneID,Target,Competitor,Contrast,Distractor,AOI1,AOI2,AOI3,AOI4,LookedObj,LookedStimulus,LookedType,ClickedObj,ClickedType,RT,CurrentObject,NthAfterAdj
4,1,196118,1096933.943,1096662,963,512,1096,933943,0.4655585,0.4662127,0.6181102,0.5938644,2.554859,637.0985,0,0.5380642,0.4823132,0.420896,0.6041526,2.557799,635.4709,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,1
4,1,196123,1096950.617,1096679,963,511,1096,950617,0.4641623,0.4665051,0.6181747,0.5939383,2.552443,637.0925,0,0.539097,0.4805387,0.4209386,0.6041591,2.553018,635.5048,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,2
4,1,196128,1096967.307,1096696,964,511,1096,967307,0.4654241,0.4637003,0.6182481,0.5939734,2.521522,637.105,0,0.5391497,0.4826479,0.4210084,0.6041444,2.555051,635.5626,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,3
4,1,196133,1096983.895,1096712,966,509,1096,983895,0.4669164,0.4636464,0.6183113,0.5940071,2.530126,637.0828,0,0.5397492,0.4800801,0.4210736,0.60413,2.552046,635.4751,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,4
4,1,196138,1097000.568,1096729,965,509,1097,568,0.4655692,0.4644241,0.6183612,0.5940095,2.521437,636.9936,0,0.539878,0.4782178,0.4211364,0.6041168,2.530245,635.3768,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,5
4,1,196143,1097017.25,1096746,963,511,1097,17250,0.4652092,0.4684206,0.6183716,0.5939795,2.514694,637.0654,0,0.5388703,0.4791739,0.4211839,0.6040938,2.524222,635.3197,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,6
4,1,196148,1097033.94,1096763,963,514,1097,33940,0.4642375,0.4705125,0.618382,0.5939426,2.513019,637.0508,0,0.539058,0.4817637,0.4211991,0.6040734,2.514728,635.3478,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,7
4,1,196153,1097050.623,1096779,963,509,1097,50623,0.4636157,0.4660428,0.6183853,0.5939315,2.517466,637.0508,0,0.5397221,0.4783959,0.4212138,0.6040725,2.511137,635.363,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,8
4,1,196158,1097067.226,1096796,964,512,1097,67226,0.4648889,0.4706642,0.6183875,0.5939065,2.500463,637.0352,0,0.5401523,0.4783992,0.4212277,0.6040685,2.500505,635.424,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,9
4,1,196163,1097083.89,1096812,960,510,1097,83890,0.4635201,0.4677053,0.6183818,0.5939028,2.506698,637.0519,0,0.5374058,0.4774546,0.4212284,0.6040832,2.502199,635.4727,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,10
4,1,196168,1097100.563,1096829,962,507,1097,100563,0.4636333,0.4659472,0.6183795,0.5939067,2.497945,637.0565,0,0.5391697,0.4739502,0.4212431,0.6041132,2.494746,635.5199,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,11
4,1,196173,1097117.244,1096846,965,509,1097,117244,0.4646409,0.4678337,0.6183687,0.5939383,2.495039,637.0669,0,0.5413827,0.4756012,0.4212351,0.6041444,2.487266,635.5296,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,12
4,1,196178,1097133.928,1096862,963,506,1097,133928,0.462713,0.4675291,0.6183607,0.5939618,2.495534,637.0607,0,0.5409476,0.4700409,0.4212312,0.6041917,2.485951,635.5702,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,13
4,1,196183,1097150.613,1096879,966,505,1097,150613,0.4654908,0.4660457,0.6183403,0.593977,2.499299,637.0737,0,0.5414148,0.4697901,0.4212159,0.6042224,2.489935,635.5729,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,14
4,1,196188,1097167.189,1096896,964,505,1097,167189,0.4648454,0.4700482,0.6183242,0.5939828,2.494542,637.0793,0,0.5399589,0.4657171,0.4211873,0.6042539,2.482926,635.6426,0,111,K9_FlatCircle1.wav,NoContrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,#tall_bluespiral7.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,#tall_bluespiral7.jpg,bumpy_yellowtriangle1.jpg,Fixation,Fixation,,AOI2,Target,2079,Stimulus,15
