Subject,Session,ID,TETTime,RTTime,CursorX,CursorY,TimestampSec,TimestampMicrosec,XGazePosLeftEye,YGazePosLeftEye,XCameraPosLeftEye,YCameraPosLeftEye,DiameterPupilLeftEye,DistanceLeftEye,ValidityLeftEye,XGazePosRightEye,YGazePosRightEye,XCameraPosRightEye,YCameraPosRightEye,DiameterPupilRightEye,DistanceRightEye,ValidityRightEye,TrialId,SoundFile,Condition,TrialType,AdjectiveType,AdjectiveOnset,NounOnset,SceneID,Target,Competitor,Contrast,Distractor,AOI1,AOI2,AOI3,AOI4,LookedObj,LookedStimulus,LookedType,ClickedObj,ClickedType,RT,CurrentObject,NthAfterAdj
3,1,24814,208102.906,207554,961,488,208,102906,0.4978445,0.4885333,0.5387594,0.2815011,2.967439,584.0687,0,0.5034935,0.4155414,0.3265046,0.3188226,3.040132,583.7128,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,11
3,1,24819,208119.589,207571,957,493,208,119589,0.4971642,0.4862307,0.5389156,0.2815847,2.955822,583.9875,0,0.5006868,0.4281466,0.3266369,0.3189029,3.020643,583.6454,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,12
3,1,24824,208136.272,207587,960,489,208,136272,0.4970355,0.4877696,0.5390596,0.2817204,2.963869,583.9798,0,0.5031854,0.4183094,0.3267535,0.319029,3.015459,583.6069,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,13
3,1,24829,208152.871,207604,960,494,208,152871,0.4976419,0.494554,0.5391839,0.2818927,2.969643,583.8658,0,0.5033101,0.4209981,0.3268558,0.3191728,3.019495,583.6341,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,14
3,1,24834,208169.527,207621,958,493,208,169527,0.4954724,0.4911008,0.5393139,0.282076,2.968247,583.7968,0,0.503001,0.4231412,0.326986,0.3192993,3.02417,583.53,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,15
3,1,24839,208186.216,207637,958,490,208,186216,0.4961455,0.4943157,0.5394409,0.2822551,2.963383,583.7676,0,0.5024827,0.4138435,0.3270778,0.3194017,3.004622,583.5178,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,16
3,1,24844,208202.905,207655,957,495,208,202905,0.4964222,0.4878526,0.5395547,0.282408,2.964913,583.7157,0,0.5005315,0.4291204,0.3271887,0.3194748,3.042776,583.5079,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,17
3,1,24849,208219.586,207671,957,491,208,219586,0.4984829,0.4917531,0.5396695,0.2825624,2.956617,583.7743,0,0.4990341,0.4186945,0.3272684,0.319497,3.024484,583.4955,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,18
3,1,24854,208236.187,207687,960,488,208,236187,0.4954972,0.4883436,0.5397462,0.2825999,2.97034,583.7954,0,0.5051584,0.4155709,0.3273484,0.3194906,3.032126,583.4757,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,19
3,1,24859,208252.866,207704,956,487,208,252866,0.4960344,0.4866014,0.5398023,0.2826172,2.960672,583.7964,0,0.500582,0.4158773,0.3274325,0.3195084,3.00106,583.5734,0,14,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,bumpy_bluecircle5.jpg,Fixation,Fixation,,AOI2,Target,2686,Stimulus,20
