Subject,Session,ID,TETTime,RTTime,CursorX,CursorY,TimestampSec,TimestampMicrosec,XGazePosLeftEye,YGazePosLeftEye,XCameraPosLeftEye,YCameraPosLeftEye,DiameterPupilLeftEye,DistanceLeftEye,ValidityLeftEye,XGazePosRightEye,YGazePosRightEye,XCameraPosRightEye,YCameraPosRightEye,DiameterPupilRightEye,DistanceRightEye,ValidityRightEye,TrialId,SoundFile,Condition,TrialType,AdjectiveType,AdjectiveOnset,NounOnset,SceneID,Target,Competitor,Contrast,Distractor,AOI1,AOI2,AOI3,AOI4,LookedObj,LookedStimulus,LookedType,ClickedObj,ClickedType,RT,CurrentObject,NthAfterAdj
2,2,183858,987022.617,986472,-1,-1,987,22617,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,1
2,2,183863,987039.297,986489,-1,-1,987,39297,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,2
2,2,183868,987055.953,986506,-1,-1,987,55953,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,3
2,2,183873,987072.654,986523,-1,-1,987,72654,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,4
2,2,183878,987089.338,986540,-1,-1,987,89338,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,5
2,2,183883,987105.936,986556,-1,-1,987,105936,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,6
2,2,183888,987122.596,986572,-1,-1,987,122596,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,7
2,2,183893,987139.278,986589,-1,-1,987,139278,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,8
2,2,183898,987155.96,986606,-1,-1,987,155960,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,9
2,2,183903,987172.651,986623,-1,-1,987,172651,-1,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,-1,4,89,K9_FlatCircle1.wav,Contrast,test,Max,474,890,11,bumpy_greencircle2.jpg,bumpy_yellowtriangle1.jpg,full_cube8.jpg,bumpy_bluecircle5.jpg,full_cube8.jpg,bumpy_yellowtriangle1.jpg,bumpy_greencircle2.jpg,bumpy_bluecircle5.jpg,,,,AOI3,Target,2995,Stimulus,10
